bairro,região
SANTA CECILIA I,Leste
SANTA CECILIA II,Leste
SANTA HELENA,Leste
SANTA HERMINIA,Leste
SANTA MARIA I,Leste
SANTA RITA,Leste
SANTANA,Norte
SAO FRANCISCO XAVIER,Norte
SAO SEBASTIAO,Norte
SERROTE,Leste
SITIO BOM JESUS,Sudeste
SITIO ENCANTADO,Leste
TERRA BRASILIS,Sudeste
TERRA NOVA,Leste
TERRA DO SOL,Sul
TORRAO DE OURO I,Sul
TORRAO DE OURO II,Sul
URBANOVA,Oeste
VARGEM GRANDE,Norte
VILA ABEL,Centro
VILA ADRIANA I,Sudeste
VILA ADRIANA II,Sudeste
VILA ADY'ANA,Centro
VILA ALEXANDRINA,Norte
VILA BETANIA,Centro
VILA CANDIDA,Norte
VILA CARDOSO,Centro
VILA CESAR,Norte
VILA CHIQUINHA,Norte
VILA CRISTINA,Norte
VILA DAS ACACIAS,Sul
VILA DAS FLORES,Sul
VILA DIRCE,Norte
VILA DO CARMO,Norte
VILA DO PENA,Norte
VILA EMA,Centro
VILA ESMERALDA,Norte
VILA ESTER,Leste
VILA GUAIANAZES,Centro
VILA GUARANI,Centro
VILA HIGIENOPOLIS,Centro
VILA ICARAI,Centro
VILA IGUALDADE,Centro
VILA INDUSTRIAL,Leste
VILA IPIRANGA,Centro
VILA IRACEMA,Sudeste
VILA JACI,Norte
VILA KENNEDY,Centro
VILA LEILA,Norte
VILA LEILA II,Norte
VILA LEONIDIA,Norte
VILA LETONIA,Sul
VILA LUCHETTI,Sul
VILA LUZIA,Centro
VILA MACHADO,Norte
VILA MARIA,Centro
VILA MASCARENHAS FERRAZ,Centro
VILA MATILDE,Leste
VILA MONTE ALEGRE,Norte
VILA MONTERREY,Leste
VILA NAIR,Sul
VILA NOSSA SENHORA DAS GRACAS,Norte
VILA NOVA CONCEICAO,Sul
VILA NOVA GUARANI,Centro
VILA NOVA SAO JOSE,Centro
VILA NOVE DE JULHO,Centro
VILA PAGANINI,Centro
VILA PAIVA,Norte
VILA PASTO ALTO,Norte
VILA PATRICIA,Leste
VILA PAULO SETUBAL,Centro
VILA PIRATININGA,Centro
VILA PROGRESSO,Centro
VILA RANGEL,Norte
VILA RICA,Sudeste
VILA ROSSI,Norte
VILA RUBI,Centro
VILA SANCHES,Centro
VILA SANTA CRUZ I,Centro
VILA SANTA CRUZ II,Centro
VILA SANTA CRUZ III,Centro
VILA SANTA HELENA,Centro
VILA SANTA LUZIA,Centro
VILA SANTA RITA,Centro
VILA SANTA ROSA,Sudeste
VILA SANTAREM,Norte
VILA SANTOS,Centro
VILA SAO BENEDITO,Sudeste
VILA SAO BENTO,Sul
VILA SAO GERALDO,Norte
VILA SAO PAULO,Centro
VILA SAO PEDRO,Centro
VILA SIMONE,Norte
VILA SINHA,Norte
VILA TATETUBA,Leste
VILA TEREZINHA,Centro
VILA TESOURO,Leste
VILA UNIDOS,Norte
VILA VENEZIANI,Norte
VILA ZIZINHA,Norte
VILLAGGIO D'ANTONINI,Leste
XINGU,Sul
